MainIsland,Region,Province,LegislativeDistrict,Municipality,DistrictEngineeringOffice,ProjectId,ProjectName,TypeOfWork,FundingYear,ContractId,ApprovedBudgetForContract,ContractCost,ActualCompletionDate,Contractor,ContractorCount,StartDate,ProjectLatitude,ProjectLongitude,ProvincialCapital,ProvincialCapitalLatitude,ProvincialCapitalLongitude
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),LA TRINIDAD (CAPITAL) (BENGUET),Benguet 1st District Engineering Office,P00821126LZ,"Construction of Flood Mitigation along Bauang River, Main Stream (Balili River), La Trinidad, Benguet",Construction of Flood Mitigation Structure,2024,24PE0025,8.685E7,8.682E7,2024-11-22,AKSUM CONTRACTING CORPORATION,1,2024-02-21,16.461317,120.590915,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),KABAYAN (BENGUET),Benguet 1st District Engineering Office,P00821531LZ,"Construction of Flood Mitigation Structure along Agno River, Section 31a (Lower Sapnaguey), Kabayan, Benguet",Construction of Flood Mitigation Structure,2024,24PE0024,3.92E7,3.919342702E7,2024-10-08,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,1,2024-02-21,16.65689003,120.82612975,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),KABAYAN (BENGUET),Benguet 1st District Engineering Office,P00820735LZ,"Construction of Ampeg-ok CIS Flood Control along Alanod Creek, Kabayan, Benguet",Construction of Flood Mitigation Structure,2024,24PE0039,2.94E7,2.9396E7,2024-11-19,CHRISHUA CONSTRUCTION SERVICES,1,2024-04-18,16.65139,120.828661,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),ITOGON (BENGUET),Benguet 1st District Engineering Office,P00821130LZ,"Construction of Flood Mitigation Structure along Agno River, Section 11 (Lower Ambalanga), Itogon, Benguet",Construction of Flood Mitigation Structure,2024,24PE0010,5.983E7,5.982E7,2024-11-25,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES / TSAI SHEN CONSTRUCTION,2,2024-03-19,16.368056,120.655278,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),TUBA (BENGUET),Benguet 1st District Engineering Office,P00824846LZ,"Construction of Flood Mitigation Structure along Aringay River Basin, Main Stream (Kagaling River Section), Tuba, Benguet",Construction of Flood Mitigation Structure,2024,24PE0054,8.492E7,8.487770932E7,2025-03-02,MG SAMIDAN CONSTRUCTION,1,2024-06-03,16.422904,120.52103,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00726656LZ,"Construction of Flood Mitigation Facilities/Drainage System along Bued River (Tributaries), Sta. 0 + 000 - Sta. 0 + 120, Sta. 0 + 223 - Sta. 0 + 533, Baguio City",Construction of Revetment,2023,23PD0057,,4.9E7,2023-11-27,GOLDRICH CONSTRUCTION & TRADING,1,2023-02-10,16.3885,120.5978,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00821132LZ,"Construction of Flood Mitigation Structure along Asin Gallano River, Sta. 0+000 - Sta. 0+400, Sta. 2 + 810 - Sta. 3 + 000, Baguio City",Construction of Flood Mitigation Structure,2024,24PD0024,9.65E7,9.65E7,2024-07-29,GOLDRICH CONSTRUCTION & TRADING,1,2024-02-13,16.431,120.5586,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00821133LZ,"Construction of Flood Mitigation Structure along Asin-Gallano River (Sta. 3+750 - Sta. 4+024), Baguio City",Construction of Flood Mitigation Structure,2024,24PD0027,1.455E8,9.65E7,2024-07-29,GOLDRICH CONSTRUCTION & TRADING,1,2024-03-15,16.4298,120.5653,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BAGUIO CITY (LEGISLATIVE DISTRICT),BAGUIO CITY (BENGUET),Baguio City District Engineering Office,P00821529LZ,"Construction of Flood Mitigation Structure along Balili River (Tributaries) (Sta 0+620 - Sta 0+793), Baguio City",Construction of Flood Mitigation Structure,2024,24PD0027,,4.9E7,2024-07-29,GOLDRICH CONSTRUCTION & TRADING,1,2024-03-15,16.4267,120.5998,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821532LZ,"Construction of Flood Mitigation Structure along Agno River, Pusong Section, Sta. 0+000 - Sta. 0+360 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0027,2.94E7,2.93527528E7,2024-07-25,NORJOHN CONSTRUCTION,1,2024-04-02,16.798623,120.833271,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00845925LZ,"Construction of Flood Control Structure along Suyo Agno River, Amlimay, Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0037,4.95E7,4.948029E7,2024-08-21,ALMOND ENGINEERING & CONSTRUCTION,1,2024-04-29,16.7045833,120.8220333,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821131LZ,"Construction of Flood Mitigation Structure along Agno River, Tin-apan Section, Sta. 0+058 - Sta. 0+650 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0020,6.755E7,6.746236343E7,2024-07-25,DJY CONSTRUCTION / NORJOHN CONSTRUCTION,2,2024-05-15,16.803992,120.838374,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821129LZ,"Construction of Flood Mitigation Structure along Agno River, Paneg-an Section, Sta. 3+228 - Sta. 4+402 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0029,6.2725E7,6.262858173E7,2024-10-22,DJY CONSTRUCTION / NORJOHN CONSTRUCTION,2,2024-06-14,16.752147,120.856379,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BUGUIAS (BENGUET),Benguet 2nd District Engineering Office,P00821533LZ,"Construction of Flood Mitigation Structure along Agno River, Salingao Section, Sta. 0+022 - Sta. 0+306 (B.S), Buguias, Benguet",Construction of Flood Mitigation Structure,2024,24PF0034,1.96E7,1.955003078E7,2024-11-20,GELLE CONSTRUCTION SERVICES,1,2024-07-01,16.793953,120.82816,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BOKOD (BENGUET),Benguet 1st District Engineering Office,P00821530LZ,"Construction of Flood Mitigation Structure along Bauang River, Bolo Creek, La Trinidad, Benguet",Construction of Flood Mitigation Structure,2024,24PE0044,3.92E7,3.919762093E7,2024-10-28,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,1,2024-06-03,16.462669,120.588966,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),BOKOD (BENGUET),Benguet 1st District Engineering Office,P00848608LZ,"Construction of Barot Flood Control, Ambuklao, Bokod, Benguet",Construction of Flood Mitigation Structure,2024,24PE0063,6.93E7,6.923533185E7,2024-12-16,M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES,1,2024-06-19,16.448431,120.744666,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),MANKAYAN (BENGUET),Benguet 2nd District Engineering Office,P00820736LZ,"Construction of Baguyos CIS Flood Control Structure along Baguyos Creek, Mankayan, Benguet",Construction of Flood Mitigation Structure,2024,24PF0023,1.47E7,1.4691603E7,2024-06-19,LAYAD GENERAL ENGINEERING CONSTRUCTION AND AGGREGATES,1,2024-02-26,16.91734444,120.7687056,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Benguet,BENGUET (LEGISLATIVE DISTRICT),KAPANGAN (BENGUET),Benguet 2nd District Engineering Office,P00824668LZ,"Construction of Flood Mitigation Structure within Amburayan River: along Amburayan River Tributary, Central Kapangan Section, Sta. 8+125 - Sta. 8+193 (R.S), Sta. 8+125 - Sta. 8+265 (L.S), Sta. 0+000 - Sta. 0.+070 (L.S), Kapangan, Benguet",Construction of Flood Mitigation Structure,2024,24PF0033,1.47E7,1.467052886E7,2024-09-23,DJ AND C CONSTRUCTION SERVICES,1,2024-06-20,16.572765,120.595664,La Trinidad,16.4554,120.5868
Luzon,Cordillera Administrative Region,Abra,ABRA (LEGISLATIVE DISTRICT),LA PAZ (ABRA),Abra District Engineering Office,P00823319LZ,"Construction of Buli Flood Control Structure, Buli, La Paz, Abra",Construction of Flood Mitigation Structure,2024,24PA0060,9.65E7,9.649750015E7,2024-09-16,MG SAMIDAN CONSTRUCTION,1,2024-02-19,17.67493,120.692,Bangued,17.6102,120.6318
Luzon,Cordillera Administrative Region,Abra,ABRA (LEGISLATIVE DISTRICT),LA PAZ (ABRA),Abra District Engineering Office,P00839466LZ,"Construction of Salangsang Flood Control Structure, La Paz, Abra",Construction of Flood Mitigation Structure,2024,24PA0037,1.4475E8,1.4849750075E8,2024-09-18,MG SAMIDAN CONSTRUCTION,1,2024-02-19,17.65513,120.64203,Bangued,17.6102,120.6318
Luzon,Cordillera Administrative Region,Abra,ABRA (LEGISLATIVE DISTRICT),LA PAZ (ABRA),Abra District Engineering Office,P00824667LZ,"Construction of Malabbaga Flood Control Structure, Malabbaga, La Paz, Abra",Construction of Flood Mitigation Structure,2024,24PA0114,4.825E7,4.899749986E7,2024-09-18,MG SAMIDAN CONSTRUCTION,1,2024-04-17,17.69621,120.70421,Bangued,17.6102,120.6318
Luzon,Cordillera Administrative Region,Abra,ABRA (LEGISLATIVE DISTRICT),TAYUM (ABRA),Abra District Engineering Office,P00821144LZ,"Construction of Poblacion-Deet Flood Control along Abra River, Tayum, Abra",Construction of Flood Mitigation Structure,2024,24PA0025,1.4475E8,1.4471047423E8,2024-08-16,MG SAMIDAN CONSTRUCTION / TWINFORMERS CONSTRUCTION SERVICES,2,2024-02-13,17.632,120.65858,Bangued,17.6102,120.6318
Luzon,Cordillera Administrative Region,Abra,ABRA (LEGISLATIVE DISTRICT),TAYUM (ABRA),Abra District Engineering Office,P00838338LZ,"Construction of Pudok Flood Control (Phase 2), Tayum, Abra",Construction of Flood Mitigation Structure,2024,24PA0042,1.4475E8,1.4475E8,2024-08-19,MG SAMIDAN CONSTRUCTION,1,2024-02-13,17.6351,120.66805,Bangued,17.6102,120.6318
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),CITY OF TABUK (CAPITAL) (KALINGA),Lower Kalinga District Engineering Office,P00824672LZ,"Construction of Burayukan Flood Control along Aliog RIver, Balong, Tabuk City, Kalinga",Construction of Flood Mitigation Structure,2024,24PL0061,9800000.0,9793424.9,2024-07-25,ZERO ONE CONSTRUCTION AND SUPPLY,1,2024-06-11,17.55630821,121.47573193,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),BALBALAN (KALINGA),Upper Kalinga District Engineering Office,P00820767LZ,"Construction of Tawang Flood Control along Cal-owan River, Tawang, Balbalan, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0009,5390000.0,5309149.1,2024-06-07,BHM CONSTRUCTION,1,2024-02-15,17.60121,121.27732,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),PASIL (KALINGA),Upper Kalinga District Engineering Office,P00820766LZ,"Construction of Mung-ol Pantuklao Creek Flood Control, Sta. 170+365 - Sta. 170+405 (BS), Balinciagao Sur, Pasil, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0025,4900000.0,4894642.74,2024-11-26,W.V. CONSTRUCTION,1,2024-04-04,17.408622,121.192881,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),PASIL (KALINGA),Upper Kalinga District Engineering Office,P00824678LZ,"Construction of Amdalao Flood Control, Guina-ang Pasil, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0042,2450000.0,2445325.03,2024-07-31,ABMJ CONSTRUCTION AND AGGREGATES,1,2024-04-18,17.38687,121.16027,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),PASIL (KALINGA),Upper Kalinga District Engineering Office,P00845931LZ,"Construction of Flood Control Structures, Saltan, Biyog Creek, Batong Buhay NHS, Mataliling Kiloy, Mabilong in Barangay Balbalasang, Barangay Balatoc, Barangay Upper Uma, Barangay Mabilong, Balbalan, Pasil and Lubuagan, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0058,6930000.0,6926724.62,2024-10-04,RAD CONSTRUCTION,1,2024-06-13,17.3443,121.06753,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),LUBUAGAN (KALINGA),Upper Kalinga District Engineering Office,P00821561LZ,"Construction of Sukiap Flood Control along Chico River, Sta 171+005 - Sta 171 +295 (L/S) Sukiap, Tanglag, Lubuagan, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0002,1.96E7,1.959265405E7,2024-07-21,BANGYAN 3D CONSTRUCTION,1,2024-02-15,17.36552,121.19752,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),TINGLAYAN (KALINGA),Upper Kalinga District Engineering Office,P00821563LZ,"Construction of Tabiong Flood Control along Chico River, Sta. 188+950 - Sta. 189+050 (LS), Poblacion, Tinglayan, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0014,8820000.0,8815139.84,2024-08-22,MA BUYAGAN CONSTRUCTION SERVICES,1,2024-03-14,17.25938,121.14218,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),TINGLAYAN (KALINGA),Upper Kalinga District Engineering Office,P00821557LZ,"Construction of Ngilin Flood Control along Chico River, Sta. 186+670 - Sta. 186+810 (R.S.), Ambato-Legleg, Tinglayan, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0033,1.176E7,1.174792115E7,2025-02-24,MA BUYAGAN CONSTRUCTION SERVICES,1,2024-04-04,17.26939,121.1536,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Kalinga,KALINGA (LEGISLATIVE DISTRICT),TINGLAYAN (KALINGA),Upper Kalinga District Engineering Office,P00824677LZ,"Construction of Waros Creek Flood Control Brgy. Bangad, Tinglayan, Kalinga",Construction of Flood Mitigation Structure,2024,24PK0027,1960000.0,1949979.46,2024-08-22,JEP CONSTRUCTION,1,2024-04-29,17.28484,121.15831,Tabuk City,17.4065,121.4417
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),BONTOC (CAPITAL) (MOUNTAIN PROVINCE),Mountain Province 1st District Engineering Office,P00839567LZ,"Construction of Flood Mitigation Structure protecting Public InfraStructure/Facilities, Barangay Mainit, Bontoc, Mountain Province",Construction of Flood Mitigation Structure,2024,24PI0050,4949999.5,4950000.0,2024-07-15,YCHONGLIYAN CONSTRUCTION,1,2024-05-06,17.15097,120.95409,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821545LZ,"Construction of Binabagan Flood Control, Bunot, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0016,1.96E7,1.96E7,2024-10-02,JTM CONSTRUCTION,1,2024-02-15,17.239,121.37236,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821546LZ,"Construction of Buringal Proper Flood Control, Sta. 065+550 - Sta. 065+950 (R.S.), Buringal, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0017,3.92E7,3.92E7,2024-07-18,UPLAND CONSTRUCTION AND ENGINEERING SERVICES,1,2024-02-15,17.19938,121.55196,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821547LZ,"Construction of Masablang Flood Control, Bantay, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0018,1.96E7,1.96E7,2024-09-16,J.M. DAPING CONSTRUCTION SERVICES,1,2024-02-15,17.1698,121.40946,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821548LZ,"Construction of Muliang Flood Control, Anonat, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0019,3.92E7,3.92E7,2024-07-22,UPLAND CONSTRUCTION AND ENGINEERING SERVICES / GAWIS CONSTRUCTION SERVICES,2,2024-02-15,17.14228,121.50986,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821549LZ,"Construction of Sikut Flood Control, Bunot, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0020,3.92E7,3.92E7,2025-03-02,ED1SON DEVELOPMENT & CONSTRUCTION INC. / J.M. DAPING CONSTRUCTION SERVICES,2,2024-02-15,17.20864,121.34966,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821120LZ,"Construction of Duli Flood Control, Bunot, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0014,5.2744005E7,5.2744005E7,2024-09-05,ED1SON DEVELOPMENT & CONSTRUCTION INC. / FLEURDELIS CONSTRUCTION AND SUPPLY,2,2024-02-19,17.2423,121.37423,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),PARACELIS (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00823330LZ,"Construction of Buringal Proper Flood Control (Sulinek Section), Sta. 065+507 - Sta. 066+407 (Right Side), Buringal, Paracelis, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0032,9.65E7,9.65E7,2024-10-27,UPLAND CONSTRUCTION AND ENGINEERING SERVICES,1,2024-02-26,17.20109,121.55389,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),BAUKO (MOUNTAIN PROVINCE),Mountain Province 1st District Engineering Office,P00821542LZ,"Construction of Kawayan-Kamiling-Padang Otucan Norte Flood Control along Bayudan-Chico River, Bauko, Mountain Province",Construction of Flood Mitigation Structure,2024,24PI0001,3.91999977E7,3.92E7,2024-08-12,MG SAMIDAN CONSTRUCTION / LOG-AKA CONSTRUCTION,2,2024-02-18,17.00742,120.87965,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),BAUKO (MOUNTAIN PROVINCE),Mountain Province 1st District Engineering Office,P00821543LZ,"Construction of Monamon Norte Flood Control along Chico River, Panas Section, Bauko, Mountain Province",Construction of Flood Mitigation Structure,2024,24PI0010,3.91999996E7,3.92E7,2024-05-13,OLSIM CONSTRUCTION / GELLE CONSTRUCTION SERVICES,2,2024-02-18,16.89485,120.91455,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),NATONIN (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00821147LZ,"Construction of Saliok Drainage System, Saliok, Natonin, Mountain Province",Construction of Drainage Structure,2024,24PM0034,2.416288E7,2.379304E7,2024-12-09,A.P.O. GENERAL CONSTRUCTION,1,2024-05-02,17.15338,121.32071,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),NATONIN (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00844736LZ,"Construction of Drainage Structure, Barangay Alunogan, Natonin, Mountain Province",Construction of Drainage Structure,2024,24PM0042,4900000.0,4900000.0,2024-08-27,CNL CONSTRUCTION,1,2024-07-29,17.09886,121.25024,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),SABANGAN (MOUNTAIN PROVINCE),Mountain Province 1st District Engineering Office,P00821541LZ,"Construction of Gayang Flood Control along Chico River, Sabangan, Mountain Province",Construction of Flood Mitigation Structure,2024,24PI0009,3.91999995E7,3.92E7,2024-06-08,FJ MIRANDA CONSTRUCTION,1,2024-02-18,16.96179,120.92131,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),SABANGAN (MOUNTAIN PROVINCE),Mountain Province 1st District Engineering Office,P00821544LZ,"Construction of Supang Flood Control, Bisibisan Section along Bayudan-Chico River, Sabangan, Mountain Province",Construction of Flood Mitigation Structure,2024,24PI0026,1.95999995E7,1.96E7,2024-06-07,DD LIKIGAN CONSTRUCTION,1,2024-02-18,17.00786,120.90924,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Mountain Province,MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT),BARLIG (MOUNTAIN PROVINCE),Mountain Province 2nd District Engineering Office,P00823328LZ,"Construction of Lias Flood Control Structure (Section 1L), Sta. 055+825 - Sta. 056+700 (Right Side), Barlig, Mountain Province",Construction of Flood Mitigation Structure,2024,24PM0029,9.65E7,9.65E7,2024-08-12,E.T. LATAWAN CONSTRUCTION,1,2024-02-26,17.0839,121.1447,Bontoc,17.0899,120.9786
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),ALFONSO LISTA (POTIA) (IFUGAO),Ifugao 2nd District Engineering Office,P00821539LZ,"Construction of Tulaed Flood Control, Sta. 75+970 - Sta. 76+090 (L/S), Sta. 76+297 - Sta. 76+820 (L/S), Tulaed, Mayoyao, Ifugao",Construction of Flood Mitigation Structure,2024,24PJ0022,1.959685689E7,1.96E7,2024-08-18,MA CONSTRUCTION,1,2024-02-21,16.928425,121.178028,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),ALFONSO LISTA (POTIA) (IFUGAO),Ifugao 2nd District Engineering Office,P00823322LZ,"Construction of San Juan Flood Control, Sta. 41+437 - Sta. 42+137, San Juan, Alfonso Lista, Ifugao",Construction of Flood Mitigation Structure,2024,24PJ0018,7.834207318E7,7.8358E7,2024-09-25,DJY CONSTRUCTION,1,2024-02-23,16.877377,121.542928,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),ALFONSO LISTA (POTIA) (IFUGAO),Ifugao 2nd District Engineering Office,P00821143LZ,"Construction of Pinto Flood Control, Sta. 32+000 - Sta. 33+550 (RS), Pinto, Alfonso Lista, Ifugao",Construction of Flood Mitigation Structure,2024,24P00012,9.649287947E7,9.65E7,2025-03-05,DJY CONSTRUCTION,1,2024-03-18,16.75312403,121.22793853,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),AGUINALDO (IFUGAO),Ifugao 2nd District Engineering Office,P00620481LZ,"Construction of Mapacopaco Flood Control Structure, Sta. 41+000 - Sta. 41+510, Posnaan, Aguinaldo, Ifugao",Construction of Flood Mitigation Structure,2022,22PJ0044,,3.181766E7,2023-03-05,DJY CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2,2022-05-23,16.93091,121.44129,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),AGUINALDO (IFUGAO),Ifugao 2nd District Engineering Office,P00620482LZ,"Construction of Mapacopaco Flood Control Structure, Sta. 42+555 - Sta. 42+913.6, Posnaan, Aguinaldo, Ifugao",Construction of Flood Mitigation Structure,2022,22PJ0044,,2.09144658E7,2023-03-05,DJY CONSTRUCTION / RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,2,2022-05-23,16.92942,121.43543,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),AGUINALDO (IFUGAO),Ifugao 2nd District Engineering Office,P00820744LZ,"Construction of Mapacopaco Flood Control, Sta. 38+850 - Sta. 39+900 (R/S), Posnaan, Aguinaldo, Ifugao",Construction of Flood Mitigation Structure,2024,24PJ0017,9.647901597E7,9.8E7,2024-05-27,MA CONSTRUCTION / R.S. SEPIAN CONSTRUCTION & TRUCKING,2,2024-02-16,16.9293,121.454511,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),LAMUT (IFUGAO),Ifugao 1st District Engineering Office,P00821534LZ,"Construction of Flood Control Structure along Ibulao River (Mawanini Section) Sta. 329+300 - Sta. 330+275 (R/S), Hapid, Lamut, Ifugao",Construction of Flood Mitigation Structure,2024,24P00016,4.824660007E7,4.825E7,2024-12-01,DJY CONSTRUCTION,1,2024-03-18,16.75312403,121.22793853,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),LAGAWE (CAPITAL) (IFUGAO),Ifugao 1st District Engineering Office,P00621003LZ,"Construction of Boliwong Flood Control Structure, Sta. 3+858-Sta. 3+900 and Sta. 4+869-Sta. 5+182, Lagawe, Ifugao",Construction of Flood Mitigation Structure,2022,22P00087,,3.655136281E7,2023-10-11,DJY CONSTRUCTION,1,2022-10-14,16.8047,121.1319,Lagawe,16.7993,121.122
Luzon,Cordillera Administrative Region,Ifugao,IFUGAO (LEGISLATIVE DISTRICT),TINOC (IFUGAO),Ifugao 1st District Engineering Office,P00820148LZ,"Construction of Danggo Flood Control (Phase II), Danggo, Tinoc, Ifugao",Construction of Flood Mitigation Structure,2024,24P00030,9.649718148E7,9.65E7,2024-10-31,PAULA MAE BUHONG CONSTRUCTION / DJY CONSTRUCTION,2,2024-03-18,16.59383661,120.96541997,Lagawe,16.7993,121.122
